DZCode,DZName,TotPop2022,area_hectares,area_km2
S01013482,Culter - 01,969,441.2,4.411924
S01013483,Culter - 02,758,36.66,0.366708
S01013484,Culter - 03,542,25.57,0.2557
S01013485,Culter - 04,560,9.62,0.096254
S01013486,Culter - 05,621,18.02,0.180077
S01013487,Culter - 06,703,64.24,0.642396
S01013488,Culter - 07,598,1376.25,13.762571
S01013489,"Cults, Bieldside and Milltimber West - 01",1129,35.25,0.352579
S01013490,"Cults, Bieldside and Milltimber West - 02",1040,188.56,1.885634
S01013491,"Cults, Bieldside and Milltimber West - 03",735,537.02,5.370188
S01013492,"Cults, Bieldside and Milltimber West - 04",625,163.22,1.632239
S01013493,"Cults, Bieldside and Milltimber West - 05",622,762.42,7.624147
S01013494,"Cults, Bieldside and Milltimber West - 06",710,12.69,0.126869
S01013495,"Cults, Bieldside and Milltimber East - 01",721,145.1,1.45097
S01013496,"Cults, Bieldside and Milltimber East - 02",691,39.56,0.395543
S01013497,"Cults, Bieldside and Milltimber East - 03",1015,29.94,0.299253
S01013498,"Cults, Bieldside and Milltimber East - 04",1039,178.77,1.787623
S01013499,"Cults, Bieldside and Milltimber Central - 01",935,256.04,2.560461
S01013500,"Cults, Bieldside and Milltimber Central - 02",819,35.43,0.354134
S01013501,"Cults, Bieldside and Milltimber Central - 03",685,20.78,0.207776
S01013502,"Cults, Bieldside and Milltimber Central - 04",946,40.07,0.400764
S01013503,Garthdee - 01,881,11.33,0.113374
S01013504,Garthdee - 02,910,16.24,0.162331
S01013505,Garthdee - 03,1150,49.49,0.495055
S01013506,Garthdee - 04,878,46.08,0.460723
S01013507,Garthdee - 05,736,13,0.130002
S01013508,Garthdee - 06,874,16.99,0.169913
S01013509,"Braeside, Mannofield, Broomhill and Seafield East - 01",666,16.5,0.16511
S01013510,"Braeside, Mannofield, Broomhill and Seafield East - 02",708,17.22,0.172195
S01013511,"Braeside, Mannofield, Broomhill and Seafield East - 03",876,19.23,0.192362
S01013512,"Braeside, Mannofield, Broomhill and Seafield East - 04",987,15.46,0.154525
S01013513,"Braeside, Mannofield, Broomhill and Seafield East - 05",670,13.01,0.130245
S01013514,"Braeside, Mannofield, Broomhill and Seafield South - 01",819,28.94,0.289412
S01013515,"Braeside, Mannofield, Broomhill and Seafield South - 02",553,15.93,0.159176
S01013516,"Braeside, Mannofield, Broomhill and Seafield South - 03",733,15.03,0.150269
S01013517,"Braeside, Mannofield, Broomhill and Seafield South - 04",863,30.57,0.305563
S01013518,"Braeside, Mannofield, Broomhill and Seafield South - 05",832,25.16,0.251592
S01013519,"Braeside, Mannofield, Broomhill and Seafield North - 01",1067,45.95,0.459541
S01013520,"Braeside, Mannofield, Broomhill and Seafield North - 02",762,20.6,0.206066
S01013521,"Braeside, Mannofield, Broomhill and Seafield North - 03",1076,30.53,0.305344
S01013522,"Braeside, Mannofield, Broomhill and Seafield North - 04",979,25.68,0.256674
S01013523,"Braeside, Mannofield, Broomhill and Seafield North - 05",575,16.05,0.160504
S01013524,Hazlehead - 01,789,467.72,4.677117
S01013525,Hazlehead - 02,864,98.97,0.989672
S01013526,Hazlehead - 03,863,243.31,2.432964
S01013527,Hazlehead - 04,689,17.39,0.173951
S01013528,Hazlehead - 05,866,44.48,0.44494
S01013529,Hazlehead - 06,876,32.57,0.325831
S01013530,Hazlehead - 07,457,12.41,0.124212
S01013531,Hazlehead - 08,927,42.61,0.426097
S01013532,Summerhill - 01,794,28.34,0.283414
S01013533,Summerhill - 02,805,24.75,0.247513
S01013534,Summerhill - 03,441,10.56,0.105673
S01013535,Summerhill - 04,742,23.17,0.231734
S01013536,Summerhill - 05,732,10.57,0.105751
S01013537,Midstocket - 01,563,14.64,0.146374
S01013538,Midstocket - 02,520,11.29,0.112979
S01013539,Midstocket - 03,964,15.7,0.157158
S01013540,Midstocket - 04,779,22.49,0.224737
S01013541,Midstocket - 05,934,22.92,0.229201
S01013542,Midstocket - 06,839,64.97,0.649652
S01013543,Rosemount - 01,1017,11.78,0.117666
S01013544,Rosemount - 02,928,5.6,0.056181
S01013545,Rosemount - 03,771,8.64,0.086414
S01013546,Rosemount - 04,691,5.54,0.055466
S01013547,Rosemount - 05,880,7.64,0.076476
S01013548,Rosemount - 06,486,5.66,0.056577
S01013549,Rosemount - 07,700,11.48,0.114756
S01013550,West End North - 01,1012,44.13,0.441383
S01013551,West End North - 02,889,36.55,0.365514
S01013552,West End North - 03,711,12.14,0.121413
S01013553,West End North - 04,981,30.97,0.309727
S01013554,West End South - 01,878,13.51,0.13513
S01013555,West End South - 02,657,11.33,0.113218
S01013556,West End South - 03,745,11.46,0.114605
S01013557,West End South - 04,992,7.05,0.07063
S01013558,West End South - 05,821,6.37,0.063757
S01013559,West End South - 06,649,8.09,0.081015
S01013560,West End South - 07,843,33.28,0.332826
S01013561,City Centre West - 01,884,14.79,0.147934
S01013562,City Centre West - 02,873,6.18,0.061738
S01013563,City Centre West - 03,609,7.5,0.075041
S01013564,City Centre West - 04,828,10.12,0.101142
S01013565,City Centre West - 05,734,23.94,0.239215
S01013566,City Centre East - 01,605,71.79,0.718014
S01013567,City Centre East - 02,626,7.46,0.074516
S01013568,City Centre East - 03,614,7.26,0.07271
S01013569,City Centre East - 04,737,7.48,0.074664
S01013570,Ferryhill North - 01,668,5.81,0.058197
S01013571,Ferryhill North - 02,633,8.8,0.088134
S01013572,Ferryhill North - 03,615,7.33,0.073252
S01013573,Ferryhill North - 04,498,7.54,0.07552
S01013574,Ferryhill North - 05,849,7.48,0.074739
S01013575,Ferryhill North - 06,745,14.51,0.145017
S01013576,Ferryhill North - 07,505,6.52,0.065213
S01013577,Ferryhill South - 01,839,34.02,0.340195
S01013578,Ferryhill South - 02,786,15.02,0.15013
S01013579,Ferryhill South - 03,1087,32.22,0.322076
S01013580,Ferryhill South - 04,895,11.94,0.119304
S01013581,Ferryhill South - 05,796,14.75,0.147447
S01013582,"Kincorth, Leggart and Nigg North - 01",651,29.92,0.299283
S01013583,"Kincorth, Leggart and Nigg North - 02",724,15.75,0.157477
S01013584,"Kincorth, Leggart and Nigg North - 03",559,14.13,0.141318
S01013585,"Kincorth, Leggart and Nigg North - 04",767,41.88,0.418637
S01013586,"Kincorth, Leggart and Nigg North - 05",847,19.7,0.197155
S01013587,"Kincorth, Leggart and Nigg South - 01",844,511.34,5.113367
S01013588,"Kincorth, Leggart and Nigg South - 02",846,16.16,0.161685
S01013589,"Kincorth, Leggart and Nigg South - 03",724,19.13,0.191204
S01013590,"Kincorth, Leggart and Nigg South - 04",879,17.72,0.177256
S01013591,"Kincorth, Leggart and Nigg South - 05",461,12.54,0.125434
S01013592,"Kincorth, Leggart and Nigg South - 06",886,15.33,0.153406
S01013593,"Kincorth, Leggart and Nigg South - 07",749,17.04,0.170429
S01013594,Cove South - 01,476,17.76,0.177706
S01013595,Cove South - 02,610,13.36,0.133669
S01013596,Cove South - 03,767,16.01,0.159929
S01013597,Cove South - 04,639,13.35,0.133601
S01013598,Cove South - 05,602,16.38,0.163688
S01013599,Cove South - 06,431,11.1,0.111102
S01013600,Cove North - 01,878,56.11,0.561241
S01013601,Cove North - 02,748,24.46,0.244706
S01013602,Cove North - 03,464,8.42,0.084133
S01013603,Cove North - 04,589,9.86,0.098525
S01013604,Cove North - 05,857,56.42,0.564285
S01013605,Cove North - 06,791,579.55,5.795523
S01013606,Torry West - 01,925,13.72,0.137298
S01013607,Torry West - 02,519,11.77,0.117753
S01013608,Torry West - 03,487,10.89,0.108912
S01013609,Torry West - 04,669,10.52,0.105081
S01013610,Torry West - 05,766,13.78,0.137895
S01013611,Torry West - 06,852,11.7,0.117073
S01013612,Torry East - 01,909,101.72,1.017179
S01013613,Torry East - 02,636,8.16,0.081616
S01013614,Torry East - 03,628,7.7,0.076875
S01013615,Torry East - 04,538,21.9,0.219005
S01013616,Torry East - 05,615,9.08,0.09086
S01013617,Torry East - 06,808,6.22,0.062171
S01013618,Hanover South - 01,492,56.84,0.568401
S01013619,Hanover South - 02,840,9.23,0.09223
S01013620,Hanover South - 03,922,10.37,0.10376
S01013621,Hanover South - 04,930,28.35,0.283462
S01013622,Hanover North - 01,994,8.27,0.08272
S01013623,Hanover North - 02,1365,20.83,0.208283
S01013624,Hanover North - 03,588,4.93,0.04933
S01013625,Hanover North - 04,1073,15.16,0.151606
S01013626,George Street - 01,578,2.09,0.020848
S01013627,George Street - 02,1069,18,0.180069
S01013628,George Street - 03,600,3.83,0.038316
S01013629,George Street - 04,1351,20.43,0.204407
S01013630,George Street - 05,973,4.61,0.046053
S01013631,George Street - 06,668,6.55,0.065523
S01013632,George Street - 07,863,10.64,0.106413
S01013633,George Street - 08,982,9.49,0.094923
S01013634,Ashgrove - 01,581,9.64,0.096484
S01013635,Ashgrove - 02,752,13.84,0.138248
S01013636,Ashgrove - 03,1053,38.3,0.382934
S01013637,Ashgrove - 04,882,17.06,0.170738
S01013638,Ashgrove - 05,439,6.7,0.067002
S01013639,"Froghall, Powis and Sunnybank - 01",698,4.43,0.044322
S01013640,"Froghall, Powis and Sunnybank - 02",718,5.27,0.052776
S01013641,"Froghall, Powis and Sunnybank - 03",617,7.02,0.070214
S01013642,"Froghall, Powis and Sunnybank - 04",498,15.98,0.159815
S01013643,"Froghall, Powis and Sunnybank - 05",473,8.75,0.087449
S01013644,"Froghall, Powis and Sunnybank - 06",704,22.04,0.220382
S01013645,"Froghall, Powis and Sunnybank - 07",488,6.84,0.068391
S01013646,"Froghall, Powis and Sunnybank - 08",435,9.3,0.092966
S01013647,"Froghall, Powis and Sunnybank - 09",884,13.1,0.131115
S01013648,Seaton - 01,973,133.95,1.339493
S01013649,Seaton - 02,666,8.32,0.083283
S01013650,Seaton - 03,829,13.98,0.139894
S01013651,Seaton - 04,1183,28.73,0.287407
S01013652,Seaton - 05,1341,24.03,0.240371
S01013653,Old Aberdeen - 01,1990,64.11,0.641232
S01013654,Old Aberdeen - 02,702,14.6,0.145991
S01013655,Old Aberdeen - 03,911,11.69,0.116975
S01013656,Old Aberdeen - 04,445,5.54,0.055352
S01013657,Tillydrone - 01,782,9.16,0.091657
S01013658,Tillydrone - 02,588,11.17,0.111684
S01013659,Tillydrone - 03,1001,18.02,0.180189
S01013660,Tillydrone - 04,793,16.03,0.160296
S01013661,Tillydrone - 05,743,18.44,0.184345
S01013662,Tillydrone - 06,560,16.58,0.165725
S01013663,Tillydrone - 07,875,7.8,0.077988
S01013664,Woodside - 01,833,58.86,0.588616
S01013665,Woodside - 02,877,8.91,0.089216
S01013666,Woodside - 03,866,9.31,0.09312
S01013667,Woodside - 04,637,10.6,0.105868
S01013668,Woodside - 05,535,11.89,0.118886
S01013669,Hilton - 01,465,9.63,0.096225
S01013670,Hilton - 02,717,20.34,0.203456
S01013671,Hilton - 03,852,22.75,0.227418
S01013672,Hilton - 04,1097,18.17,0.181671
S01013673,Hilton - 05,569,8.52,0.085235
S01013674,Hilton - 06,633,9.13,0.091244
S01013675,Hilton - 07,653,12.46,0.124574
S01013676,Hilton - 08,1016,17.94,0.179382
S01013677,Stockethill - 01,876,21.92,0.219206
S01013678,Stockethill - 02,695,15.96,0.159662
S01013679,Stockethill - 03,735,12.55,0.125504
S01013680,Stockethill - 04,759,10.68,0.106777
S01013681,Stockethill - 05,640,8.25,0.08251
S01013682,Stockethill - 06,392,7.15,0.071443
S01013683,Stockethill - 07,737,14.96,0.149628
S01013684,Mastrick - 01,610,11.01,0.110183
S01013685,Mastrick - 02,711,10.7,0.106907
S01013686,Mastrick - 03,575,28.45,0.284482
S01013687,Mastrick - 04,511,8.67,0.086727
S01013688,Mastrick - 05,791,14.5,0.144938
S01013689,Mastrick - 06,578,8.69,0.086956
S01013690,Mastrick - 07,455,7.03,0.070345
S01013691,Sheddocksley - 01,770,14.21,0.14218
S01013692,Sheddocksley - 02,867,12.39,0.123872
S01013693,Sheddocksley - 03,809,17.22,0.172241
S01013694,Sheddocksley - 04,830,17.72,0.177153
S01013695,Sheddocksley - 05,499,18.09,0.180858
S01013696,Sheddocksley - 06,909,24.29,0.242841
S01013697,Cummings Park - 01,650,12.32,0.123167
S01013698,Cummings Park - 02,572,22.98,0.229833
S01013699,Cummings Park - 03,552,18.27,0.182655
S01013700,Cummings Park - 04,899,17.59,0.175959
S01013701,Cummings Park - 05,594,13.37,0.133681
S01013702,Northfield - 01,941,19.48,0.194591
S01013703,Northfield - 02,592,9.25,0.092514
S01013704,Northfield - 03,748,15.6,0.156203
S01013705,Northfield - 04,669,11.18,0.11187
S01013706,Northfield - 05,607,10.64,0.106263
S01013707,Northfield - 06,825,21.15,0.21145
S01013708,Northfield - 07,639,10.17,0.101664
S01013709,Heathryfold and Middlefield - 01,641,17.88,0.17881
S01013710,Heathryfold and Middlefield - 02,1103,24.12,0.241311
S01013711,Heathryfold and Middlefield - 03,750,10.46,0.104584
S01013712,Heathryfold and Middlefield - 04,1058,17.68,0.176698
S01013713,Heathryfold and Middlefield - 05,664,8.42,0.084161
S01013714,Heathryfold and Middlefield - 06,502,7.41,0.07407
S01013715,Kingswells - 01,859,38.74,0.387421
S01013716,Kingswells - 02,518,27.35,0.273574
S01013717,Kingswells - 03,1059,25.87,0.258712
S01013718,Kingswells - 04,746,29.55,0.295597
S01013719,Kingswells North and Newhills - 01,456,1151.3,11.512983
S01013720,Kingswells North and Newhills - 02,768,32.78,0.327717
S01013721,Kingswells North and Newhills - 03,383,1209.42,12.094235
S01013722,Kingswells North and Newhills - 04,946,38.09,0.3809
S01013723,Kingswells North and Newhills - 05,805,228.64,2.286345
S01013724,Bucksburn South - 01,975,27.5,0.275044
S01013725,Bucksburn South - 02,613,27.75,0.277577
S01013726,Bucksburn South - 03,842,20.5,0.204928
S01013727,Bucksburn South - 04,942,37.01,0.369981
S01013728,Bucksburn South - 05,685,17.19,0.171853
S01013729,Bucksburn South - 06,646,11.98,0.119809
S01013730,Bucksburn South - 07,453,6.8,0.068031
S01013731,Bucksburn North - 01,859,69.92,0.69923
S01013732,Bucksburn North - 02,510,23.21,0.232186
S01013733,Bucksburn North - 03,878,44.92,0.449167
S01013734,Bucksburn North - 04,836,42.95,0.429371
S01013735,Bucksburn North - 05,559,10.86,0.10864
S01013736,Bucksburn North - 06,584,42.06,0.420684
S01013737,Bucksburn North - 07,769,535.47,5.354871
S01013738,Bucksburn North - 08,800,32.04,0.320334
S01013739,Dyce - 01,870,19.25,0.192419
S01013740,Dyce - 02,639,11.22,0.112155
S01013741,Dyce - 03,394,8.59,0.085942
S01013742,Dyce - 04,650,10.99,0.109827
S01013743,Dyce - 05,917,28.49,0.284899
S01013744,Dyce - 06,829,42.37,0.423667
S01013745,Dyce - 07,722,1724.28,17.242809
S01013746,Danestone - 01,741,31.52,0.315212
S01013747,Danestone - 02,788,18.99,0.189963
S01013748,Danestone - 03,606,14.61,0.14617
S01013749,Danestone - 04,509,24.99,0.24991
S01013750,Danestone - 05,466,33.36,0.333597
S01013751,Danestone - 06,641,33.52,0.335231
S01013752,Oldmachar West - 01,818,835.93,8.359234
S01013753,Oldmachar West - 02,811,105.2,1.051943
S01013754,Oldmachar West - 03,825,12.26,0.122434
S01013755,Oldmachar West - 04,693,11.11,0.111101
S01013756,Oldmachar West - 05,558,10.07,0.100687
S01013757,Oldmachar West - 06,544,14.02,0.140236
S01013758,Oldmachar West - 07,637,15.47,0.154735
S01013759,Oldmachar East - 01,561,14.01,0.140084
S01013760,Oldmachar East - 02,878,19.33,0.193285
S01013761,Oldmachar East - 03,615,11.76,0.117544
S01013762,Oldmachar East - 04,386,7.18,0.071783
S01013763,Oldmachar East - 05,687,15.37,0.15369
S01013764,Oldmachar East - 06,995,35.63,0.356218
S01013765,Oldmachar East - 07,527,9.95,0.099507
S01013766,Balgownie and Donmouth West - 01,927,77.07,0.770719
S01013767,Balgownie and Donmouth West - 02,511,29.79,0.297886
S01013768,Balgownie and Donmouth West - 03,592,12.82,0.128138
S01013769,Balgownie and Donmouth West - 04,569,16.04,0.16045
S01013770,Balgownie and Donmouth West - 05,523,16.66,0.16661
S01013771,Balgownie and Donmouth West - 06,473,38.13,0.381272
S01013772,Balgownie and Donmouth East - 01,591,11.45,0.114561
S01013773,Balgownie and Donmouth East - 02,813,125.96,1.259604
S01013774,Balgownie and Donmouth East - 03,474,10.86,0.108613
S01013775,Balgownie and Donmouth East - 04,551,15.24,0.152389
S01013776,Denmore - 01,504,10.45,0.104522
S01013777,Denmore - 02,762,32.4,0.324041
S01013778,Denmore - 03,604,18.2,0.182098
S01013779,Denmore - 04,744,23.09,0.230899
S01013780,Denmore - 05,725,1189.37,11.893739
S01013781,Denmore - 06,737,10.06,0.100708
S01013782,East Cairngorms - 01,559,107.69,1.076861
S01013783,East Cairngorms - 02,822,52.54,0.525345
S01013784,East Cairngorms - 03,610,40366.89,403.668914
S01013785,East Cairngorms - 04,675,44526.95,445.269448
S01013786,East Cairngorms - 05,584,59454.95,594.549479
S01013787,Aboyne and South Deeside - 01,563,51.6,0.516059
S01013788,Aboyne and South Deeside - 02,747,102.49,1.024783
S01013789,Aboyne and South Deeside - 03,750,31.18,0.311695
S01013790,Aboyne and South Deeside - 04,667,7483.07,74.830826
S01013791,Aboyne and South Deeside - 05,619,12630.57,126.305826
S01013792,Aboyne and South Deeside - 06,877,48.7,0.487038
S01013793,Aboyne and South Deeside - 07,856,16433.14,164.331422
S01013794,Mearns and Laurencekirk - 01,651,45.57,0.455682
S01013795,Mearns and Laurencekirk - 02,626,16.26,0.162555
S01013796,Mearns and Laurencekirk - 03,641,26.1,0.26103
S01013797,Mearns and Laurencekirk - 04,569,30.62,0.306216
S01013798,Mearns and Laurencekirk - 05,987,2050.39,20.503934
S01013799,Mearns South and Benholm - 01,779,6395.1,63.950942
S01013800,Mearns South and Benholm - 02,420,3126.25,31.262478
S01013801,Mearns South and Benholm - 03,1114,3048.35,30.483416
S01013802,Mearns South and Benholm - 04,677,2893.05,28.930472
S01013803,Mearns South and Benholm - 05,699,452.98,4.529788
S01013804,Mearns South and Benholm - 06,565,51.52,0.515189
S01013805,Mearns South and Benholm - 07,903,1824.39,18.243922
S01013806,Mearns North and Inverbervie - 01,873,10747.88,107.478787
S01013807,Mearns North and Inverbervie - 02,567,29.62,0.296144
S01013808,Mearns North and Inverbervie - 03,891,4007.5,40.075025
S01013809,Mearns North and Inverbervie - 04,844,33.45,0.334518
S01013810,Mearns North and Inverbervie - 05,888,30.23,0.302316
S01013811,Mearns North and Inverbervie - 06,606,15.68,0.156734
S01013812,Mearns North and Inverbervie - 07,785,33.86,0.338619
S01013813,Mearns North and Inverbervie - 08,538,3087.17,30.87167
S01013814,"Fetteresso, Netherley and Catter - 01",798,5656.4,56.563916
S01013815,"Fetteresso, Netherley and Catter - 02",819,4328.89,43.288978
S01013816,"Fetteresso, Netherley and Catter - 03",409,592.33,5.923237
S01013817,"Fetteresso, Netherley and Catter - 04",519,2603.31,26.032969
S01013818,"Fetteresso, Netherley and Catter - 05",626,26,0.260016
S01013819,"Fetteresso, Netherley and Catter - 06",690,200.46,2.004618
S01013820,"Fetteresso, Netherley and Catter - 07",795,8406.19,84.061902
S01013821,Stonehaven South - 01,663,33.9,0.339196
S01013822,Stonehaven South - 02,849,11.85,0.118524
S01013823,Stonehaven South - 03,1036,35.56,0.355519
S01013824,Stonehaven South - 04,871,44.42,0.444191
S01013825,Stonehaven South - 05,786,16.54,0.165494
S01013826,Stonehaven South - 06,800,18.45,0.184517
S01013827,Stonehaven South - 07,404,37.98,0.379838
S01013828,Stonehaven North - 01,702,20.67,0.206732
S01013829,Stonehaven North - 02,462,10.83,0.108243
S01013830,Stonehaven North - 03,910,27.47,0.2746
S01013831,Stonehaven North - 04,464,25.2,0.251918
S01013832,Stonehaven North - 05,784,260.67,2.606698
S01013833,Stonehaven North - 06,782,24.84,0.248312
S01013834,Stonehaven North - 07,536,26.92,0.269183
S01013835,Stonehaven North - 08,529,32.17,0.321691
S01013836,Stonehaven North - 09,601,11.37,0.113719
S01013837,Newtonhill - 01,798,25.9,0.258992
S01013838,Newtonhill - 02,823,25.63,0.256288
S01013839,Newtonhill - 03,654,24.78,0.247792
S01013840,Newtonhill - 04,903,39.08,0.390681
S01013841,Portlethen - 01,696,26.58,0.265773
S01013842,Portlethen - 02,742,18.92,0.189336
S01013843,Portlethen - 03,594,12.47,0.124705
S01013844,Portlethen - 04,841,20.38,0.203863
S01013845,Portlethen - 05,468,9.4,0.094068
S01013846,Portlethen - 06,639,29.05,0.290597
S01013847,Banchory-Devenick and Findon - 01,631,422.1,4.220917
S01013848,Banchory-Devenick and Findon - 02,608,1645.14,16.451396
S01013849,Banchory-Devenick and Findon - 03,515,37.41,0.374067
S01013850,Banchory-Devenick and Findon - 04,721,21.94,0.219483
S01013851,Banchory-Devenick and Findon - 05,646,20.77,0.207618
S01013852,Banchory-Devenick and Findon - 06,525,12.01,0.120065
S01013853,Banchory-Devenick and Findon - 07,898,15.29,0.152847
